TE,Saprobic_Hyphae,Parasitic_Spherules,Sph+1,Exp_Sph,Species
All genes,106.09,74.74,75.74,6.242983516,C.immitis
All genes,39,71.04,72.04,6.170726276,C.immitis
All genes,48.28,45.44,46.44,5.537296067,C.immitis
All genes,20.82,10.9,11.9,3.572889668,C.immitis
All genes,58.56,57.74,58.74,5.876271361,C.immitis
All genes,131.48,120.75,121.75,6.927777962,C.immitis
All genes,17,14.42,15.42,3.94673086,C.immitis
All genes,33.52,47.34,48.34,5.595145568,C.immitis
All genes,29.28,32.33,33.33,5.058749412,C.immitis
All genes,5.99,8.22,9.22,3.204766751,C.immitis
All genes,11.1,16.17,17.17,4.101818134,C.immitis
All genes,176.28,141.63,142.63,7.156133652,C.immitis
All genes,0.55,0.87,1.87,0.90303827,C.immitis
All genes,19.49,10.88,11.88,3.570462931,C.immitis
All genes,19.43,22.68,23.68,4.565597176,C.immitis
All genes,27.24,71.93,72.93,6.188440489,C.immitis
All genes,66.75,209.72,210.72,7.71918344,C.immitis
All genes,8.56,22.28,23.28,4.541019153,C.immitis
All genes,25.46,19.96,20.96,4.389566812,C.immitis
All genes,489.11,365.49,366.49,8.517630023,C.immitis
All genes,114.1,201.82,202.82,7.664056113,C.immitis
All genes,9.8,13.66,14.66,3.873813198,C.immitis
All genes,47.12,40.09,41.09,5.360715425,C.immitis
All genes,14.05,14.4,15.4,3.944858446,C.immitis
All genes,0.72,0.54,1.54,0.622930351,C.immitis
All genes,3.52,10.81,11.81,3.56193706,C.immitis
All genes,0.93,1.41,2.41,1.269033146,C.immitis
All genes,31.92,325.32,326.32,8.350143602,C.immitis
All genes,6.06,15.74,16.74,4.065227623,C.immitis
All genes,548.72,227.22,228.22,7.834281417,C.immitis
All genes,32.23,53.53,54.53,5.76897825,C.immitis
All genes,54.83,66.63,67.63,6.079591449,C.immitis
All genes,13.16,11.16,12.16,3.604071324,C.immitis
All genes,36.58,40.4,41.4,5.371558863,C.immitis
All genes,19.1,23.95,24.95,4.64096791,C.immitis
All genes,78.6,68.51,69.51,6.11914864,C.immitis
All genes,68.06,45.84,46.84,5.549669171,C.immitis
All genes,34.05,30.7,31.7,4.986410935,C.immitis
All genes,50.12,15.97,16.97,4.08491466,C.immitis
All genes,51.8,31.68,32.68,5.030336078,C.immitis
All genes,52.44,10.01,11.01,3.460742564,C.immitis
All genes,9.38,7.56,8.56,3.097610797,C.immitis
All genes,16.8,6.31,7.31,2.869871406,C.immitis
All genes,27.03,48.6,49.6,5.632268215,C.immitis
All genes,0.93,2.49,3.49,1.803227036,C.immitis
All genes,2.64,4.11,5.11,2.353323291,C.immitis
All genes,11.71,53.42,54.42,5.766065051,C.immitis
All genes,75.27,393.09,394.09,8.622381331,C.immitis
All genes,21.17,37.29,38.29,5.258895755,C.immitis
All genes,59.59,5.38,6.38,2.673556424,C.immitis
All genes,0.63,1.33,2.33,1.220329955,C.immitis
All genes,13.39,34.32,35.32,5.142413438,C.immitis
All genes,44.78,43.16,44.16,5.464668267,C.immitis
All genes,51.15,57.34,58.34,5.866413481,C.immitis
All genes,41.28,109.26,110.26,6.784765696,C.immitis
All genes,32.81,28.68,29.68,4.891419187,C.immitis
All genes,5.98,9.49,10.49,3.390942773,C.immitis
All genes,26.24,16.89,17.89,4.161081482,C.immitis
All genes,44.67,52.76,53.76,5.748461233,C.immitis
All genes,38.57,36.51,37.51,5.229203358,C.immitis
All genes,18.76,12.13,13.13,3.714795011,C.immitis
All genes,0.52,2.43,3.43,1.778208576,C.immitis
All genes,122.33,131.61,132.61,7.051045762,C.immitis
All genes,33.5,61.4,62.4,5.963474124,C.immitis
All genes,61.53,37.63,38.63,5.271649772,C.immitis
All genes,317.34,1026.41,1027.41,10.00479631,C.immitis
All genes,3.35,11.06,12.06,3.592158002,C.immitis
All genes,119.25,274.94,275.94,8.108210793,C.immitis
All genes,121.94,124.35,125.35,6.969818186,C.immitis
All genes,38.93,26.41,27.41,4.776630423,C.immitis
All genes,5.43,3.82,4.82,2.269033146,C.immitis
All genes,2.62,3.77,4.77,2.253989266,C.immitis
All genes,7.78,8,9,3.169925001,C.immitis
All genes,25.39,22.76,23.76,4.570462931,C.immitis
All genes,26.24,21.32,22.32,4.480265122,C.immitis
All genes,26.7,24.76,25.76,4.687060688,C.immitis
All genes,7.86,20.46,21.46,4.423578171,C.immitis
All genes,24.88,19.23,20.23,4.338424415,C.immitis
All genes,25.63,36.55,37.55,5.230741003,C.immitis
All genes,21.25,45.45,46.45,5.537606691,C.immitis
All genes,12.05,44.45,45.45,5.506208389,C.immitis
All genes,4.18,2.44,3.44,1.782408565,C.immitis
All genes,25.13,5.32,6.32,2.659924558,C.immitis
All genes,41.01,39.53,40.53,5.34091827,C.immitis
All genes,41.67,25.32,26.32,4.718087584,C.immitis
All genes,77.67,77.39,78.39,6.29259772,C.immitis
All genes,39.34,49.59,50.59,5.660780334,C.immitis
All genes,17.66,12.27,13.27,3.730096466,C.immitis
All genes,2.9,3.83,4.83,2.272023189,C.immitis
All genes,60.63,87.82,88.82,6.472812666,C.immitis
All genes,7.57,9.42,10.42,3.381283373,C.immitis
All genes,71.69,69.11,70.11,6.13154833,C.immitis
All genes,2.88,2.3,3.3,1.722466024,C.immitis
All genes,6.37,5.74,6.74,2.752748591,C.immitis
All genes,1.32,4.12,5.12,2.35614381,C.immitis
All genes,60.79,50.69,51.69,5.691813297,C.immitis
All genes,21.29,15.13,16.13,4.011674533,C.immitis
All genes,101.87,85.09,86.09,6.427773762,C.immitis
All genes,37.56,24.69,25.69,4.683134985,C.immitis
All genes,31.3,13.62,14.62,3.869871406,C.immitis
All genes,98.83,91.41,92.41,6.529977074,C.immitis
All genes,55.35,42.26,43.26,5.43496176,C.immitis
All genes,73.61,45.05,46.05,5.525129251,C.immitis
All genes,0.49,0.94,1.94,0.956056652,C.immitis
All genes,0.49,3.82,4.82,2.269033146,C.immitis
All genes,117.96,113.55,114.55,6.839833648,C.immitis
All genes,372.43,92.29,93.29,6.543650538,C.immitis
All genes,137.2,310.22,311.22,8.281790965,C.immitis
All genes,1.69,5.4,6.4,2.678071905,C.immitis
All genes,4.72,4.75,5.75,2.523561956,C.immitis
All genes,2.91,7.15,8.15,3.026800059,C.immitis
All genes,3.55,7.63,8.63,3.109360559,C.immitis
All genes,175.28,75.82,76.82,6.263410059,C.immitis
All genes,55.37,127.52,128.52,7.005849076,C.immitis
All genes,44.4,54.74,55.74,5.800641097,C.immitis
All genes,85.93,33.15,34.15,5.093813673,C.immitis
All genes,59.59,18.68,19.68,4.298658316,C.immitis
All genes,12.69,11.96,12.96,3.695993813,C.immitis
All genes,256.2,169.37,170.37,7.412527507,C.immitis
All genes,4.48,6.87,7.87,2.976363636,C.immitis
All genes,15.9,28.21,29.21,4.868390453,C.immitis
All genes,17.66,32.42,33.42,5.062639828,C.immitis
All genes,77.81,100.39,101.39,6.663771557,C.immitis
All genes,33.9,32.96,33.96,5.085764554,C.immitis
All genes,31.86,57.58,58.58,5.872336288,C.immitis
All genes,9.5,8.42,9.42,3.23572706,C.immitis
All genes,9.1,6.85,7.85,2.972692654,C.immitis
All genes,37.28,68.64,69.64,6.121844298,C.immitis
All genes,23.12,59.08,60.08,5.908812908,C.immitis
All genes,4.44,40.67,41.67,5.380937195,C.immitis
All genes,6.25,16.74,17.74,4.148934105,C.immitis
All genes,144.2,321.94,322.94,8.335122337,C.immitis
All genes,92.98,96.39,97.39,6.605701739,C.immitis
All genes,17.43,43.63,44.63,5.479941901,C.immitis
